#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2017,SR_7522,5,1789084_629136_RT,M
Southern_Rockies_2017,SR_7522,5,1788397_630450_RT,M
Southern_Rockies_2017,SR_7522,5,1786751_633149_RT,M
Southern_Rockies_2017,SR_7evas-F16,1,1786071_564306_RT,F
Southern_Rockies_2017,SR_7evas-F16,2,1783891_565205_RT,F
Southern_Rockies_2017,SR_8809-e,1,1805694_601311_RT,M
Southern_Rockies_2017,SR_8809-e,1,1804522_600988_RT,M
Southern_Rockies_2017,SR_BMA5-622,3,1809814_591193_RT,F
Southern_Rockies_2017,SR_cl-Bailey,1,1789218_603332_RT,F
Southern_Rockies_2017,SR_cl-Bailey,3,1789733_603117_RT,F
Southern_Rockies_2017,SR_cl-Bailey,4,1785792_595796_RT,F
Southern_Rockies_2017,SR_cl-Melissa,4,1784014_624171_RT,F
Southern_Rockies_2017,SR_cl-Sue,1,1805464_591691_RT,F
Southern_Rockies_2017,SR_cl-Sue,3,1805464_591691_RT,F
Southern_Rockies_2017,SR_cl-Sue,4,1803318_596805_RT,F
Southern_Rockies_2017,SR_cl-Sue,5,1795969_602043_RT,F
Southern_Rockies_2017,SR_cl-Trish,4,1796959_573834_RT,F
Southern_Rockies_2017,SR_cl-Trish,5,1796842_573398_RT,F
Southern_Rockies_2017,SR_Clayton2,2,1801014_525627_RT,M
Southern_Rockies_2017,SR_Derrick,1,1838233_515102_RT,M
Southern_Rockies_2017,SR_Derrick,1,1824995_520225_RT,M
Southern_Rockies_2017,SR_Derrick,2,1817199_525595_RT,M
Southern_Rockies_2017,SR_Derrick,2,1838338_528891_RT,M
Southern_Rockies_2017,SR_Derrick,3,1838338_528891_RT,M
Southern_Rockies_2017,SR_Maia,5,1838233_515102_RT,F
Southern_Rockies_2017,SR_Maia,5,1840033_524759_RT,F
Southern_Rockies_2017,SR_mc-FH1016,3,1836202_527037_RT,M
Southern_Rockies_2017,SR_mc-FH1016,5,1836202_527037_RT,M
Southern_Rockies_2017,SR_mc-Garrison,2,1827429_531576_RT,M
Southern_Rockies_2017,SR_mc-Garrison,5,1824116_531953_RT,M
Southern_Rockies_2017,SR_mc-Gloria,3,1818103_550145_RT,F
Southern_Rockies_2017,SR_mc-Gloria,5,1818103_550145_RT,F
Southern_Rockies_2017,SR_mc-Gloria,5,1818289_549913_RT,F
Southern_Rockies_2017,SR_Pam,3,1839034_528582_RT,F
Southern_Rockies_2017,SR_Pam,5,1839034_528582_RT,F
Southern_Rockies_2017,SR_SA10782,1,1820048_537211_RT,M
Southern_Rockies_2017,SR_SA10782,1,1835435_526500_RT,M
Southern_Rockies_2017,SR_SA10782,2,1818103_550145_RT,M
Southern_Rockies_2017,SR_SA10782,2,1828739_546779_RT,M
Southern_Rockies_2017,SR_SA10782,2,1828756_547519_RT,M
Southern_Rockies_2017,SR_SA10782,5,1828739_546779_RT,M
Southern_Rockies_2017,SR_SA3117,1,1846748_512477_RT,M
Southern_Rockies_2017,SR_SA3117,2,1852365_519412_RT,M
Southern_Rockies_2017,SR_SA4659,1,1816709_567863_RT,M
Southern_Rockies_2017,SR_SA4659,1,1806621_573322_RT,M
Southern_Rockies_2017,SR_SA4659,1,1807658_568499_RT,M
Southern_Rockies_2017,SR_SA4659,1,1805830_563609_RT,M
Southern_Rockies_2017,SR_SA4659,1,1807010_565752_RT,M
Southern_Rockies_2017,SR_SA4659,2,1816709_567863_RT,M
Southern_Rockies_2017,SR_SA4659,3,1816709_567863_RT,M
Southern_Rockies_2017,SR_SA4738,1,1829841_511691_RT,M
Southern_Rockies_2017,SR_SA9334,4,1816719_567016_RT,F
Southern_Rockies_2017,SR_SAR1348,1,1816956_550461_RT,M
Southern_Rockies_2017,SR_SAR1348,1,1819046_549512_RT,M
Southern_Rockies_2017,SR_SAR1348,1,1817232_550601_RT,M
Southern_Rockies_2017,SR_SAR1348,1,1808878_561548_RT,M
Southern_Rockies_2017,SR_SAR1348,1,1818289_549913_RT,M
Southern_Rockies_2017,SR_SAR1603,1,1847970_528590_RT,M
Southern_Rockies_2017,SR_SAR1603,1,1849238_528925_RT,M
Southern_Rockies_2017,SR_SAR1603,1,1850631_529874_RT,M
Southern_Rockies_2017,SR_SAR1603,1,1847811_528526_RT,M
Southern_Rockies_2017,SR_SAR2143,1,1812349_587174_RT,M
Southern_Rockies_2017,SR_SW0212,1,1817478_525317_RT,M
