Sample ID,HTorRT,Area,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HT_ID,pooled RTs,Site Name,Northing,Easting,Latitude,Long ,YR,MO,DY,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex
Ht Boulder-200712-3,HT,Boulder,SN,Dallas,Dallas F381,Dallas,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2012,7,20,1,,17,11,F381,1,HT Molly-260711-2a,F
Ht Boulder-200712-1,HT,Boulder,SN,Georgia,Georgia F60,Georgia,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2012,7,20,1,,17,11,F60,1,54010c1,F
Ht Boulder-60812-1,HT,Boulder,SN,Molly,Molly F73,Molly,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2012,8,6,2,,16,10,F73,1,55018e1,F
HT BldHel-190713-1A,HT,Boulder,SN,Molly,Molly F73,Molly,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2013,7,19,1,,18,9,F73,1,55018e1,F
HT BldHel-190713-3B,HT,Boulder,SN,Molly,Molly F73,Molly,34,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2013,7,19,1,,18,9,F73,2,55018e1,F
,HT,Boulder,,,,NONE,,,Ht Boulder Heli,5593600,567789,50.4905,-122.0443,2013,7,29,2,,,,,,,
Ht Boulder -240811-2,HT,Boulder,SN,Georgia,Georgia F60,Georgia,35,,Ht Boulder W,5594200,568679,50.4957,-122.0317,2011,8,24,3,,10,9,F60,1,54010c1,F
,HT,Boulder,,,,NONE,,,Ht Boulder W,5594200,568679,50.4957,-122.0317,2011,7,2,1,,,,,,,
,HT,Boulder,,,,NONE,,,Ht Boulder W,5594200,568679,50.4957,-122.0317,2011,7,26,2,,,,,,,
,HT,Boulder,,,,NONE,,,Ht Boulder W,5594200,568679,50.4957,-122.0317,2011,9,19,4,,,,,,,
,RT,Boulder,,,,NONE,,RT Boulder 1,RT Boulder 1,5595890,568401,50.51097272,-122.0353011,2014,6,29,1,,,,,,,
,RT,Boulder,,,,NONE,,RT Boulder 1,RT Boulder 1,5595890,568401,50.51097272,-122.0353011,2014,7,16,2,,,,,,,
,RT,Boulder,,,,NONE,,RT Boulder 1,RT Boulder 1,5595890,568401,50.51097272,-122.0353011,2014,8,18,3,,,,,,,
C-2013-Carl,C,Cadwallider,SC,Carl,Carl ,Carl ,,,,,,50.7380,-122.6930,2013,5,30,0,X,,,,1,C-2013-Carl,M
,C (W_HELP),Cadwallider,SC,Gillis,Gillis F141,Gillis,,,,,,,,2012,9,18,0,X,,,F141,1,6SNSA-GF6,F
HT Cadw 2-170612-1,HT,Cadwallider,SC,Barkley ,Barkley M69,Barkley,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,6,17,1,,13,14,M69,1,5SNRB8,M
HT Cadw 2-170612-4,HT,Cadwallider,SC,Barkley ,Barkley M69,Barkley,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,6,17,1,,13,14,M69,2,5SNRB8,M
HT Cadw 2-170612-2,HT,Cadwallider,SC,61021-a1,M104,M104,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,6,17,1,,13,14,M104,1,61021-a1,M
HT Cadw 3-140712-5,HT,Cadwallider,SC,64004-a1,F130,F130,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,7,14,2,,13,14,F130,1,64004-a1,F
HT Cadw 3-140712-4,HT,Cadwallider,SC,64004-f1,F131,F131,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,7,14,2,,13,14,F131,1,64004-f1,F
HT Cadw 3-20812-1C,HT,Cadwallider,SC,Ht Mcgill N-260811-1f, F389,F389,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,8,2,3,,7,13,F389,1,Ht Mcgill N-260811-1f,F
HT Cadw 3-20812-4,HT,Cadwallider,SC,Ht Mcgill N-260811-1f, F389,F389,103,,HT Cadwalider 2010,5618063,524372,50.7139,-122.6548,2012,8,2,3,,7,13,F389,2,Ht Mcgill N-260811-1f,F
